N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
182,롯데리츠,"5,980",50,-0.83%,500,"14,530","242,969",9.92,"617,443",34.77,1.83,
183,JB금융지주,"7,340",10,-0.14%,"5,000","14,459","196,983",41.05,"210,118",3.62,10.06,
184,KODEX 종합채권(AA-이상)액티브,"109,100",170,+0.16%,0,"14,444","13,239",0.00,"9,552",N/A,N/A,
185,신세계인터내셔날,"200,000","2,000",+1.01%,"5,000","14,280","7,140",5.37,"30,955",20.50,8.24,
186,KODEX 200TR,"14,160",115,-0.81%,0,"14,103","99,600",0.01,"138,103",N/A,N/A,
187,솔루엠,"27,300",400,-1.44%,500,"13,597","49,806",4.46,"762,307",26.71,43.26,
188,롯데관광개발,"19,550",350,-1.76%,500,"13,543","69,276",6.49,"677,010",-10.93,-30.43,
189,LG전자우,"77,300","1,500",-1.90%,"5,000","13,285","17,186",40.94,"158,408",7.20,N/A,
190,KODEX 레버리지,"28,410",590,-2.03%,0,"13,012","45,800",5.15,"18,465,654",N/A,N/A,
191,세방전지,"92,900","3,000",-3.13%,500,"13,006","14,000",25.17,"109,258",16.86,6.14,
192,이연제약,"72,100","1,000",+1.41%,500,"12,977","17,999",0.88,"2,410,599",260.29,1.71,
193,이노션,"64,600","1,400",-2.12%,500,"12,920","20,000",30.05,"49,922",22.00,8.28,
194,한국콜마,"56,000","1,400",-2.44%,500,"12,813","22,881",27.43,"293,643",8.00,29.27,
195,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
196,KODEX 2차전지산업,"19,690",10,-0.05%,0,"12,759","64,800",0.29,"1,953,634",N/A,N/A,
197,롯데칠성,"140,000","1,500",-1.06%,500,"12,565","8,975",8.81,"31,462",188.68,-1.00,
198,다우기술,"27,600",550,-1.95%,500,"12,383","44,867",21.94,"220,469",3.27,18.85,
199,태광산업,"1,109,000","29,000",-2.55%,"5,000","12,348","1,113",7.15,"1,636",9.78,3.26,
200,효성화학,"380,500",0,0.00%,"5,000","12,138","3,190",8.97,"73,936",41.54,-2.71,
